age,age_group,personal_status,employment,savings,duration,amount,predicted_label,true_label
74,50+,male single,4<=X<7,100<=X<500,51,14671,0,0
47,40-49,male mar/wid,>=7,100<=X<500,18,12605,1,1
65,50+,male div/sep,1<=X<4,<100,60,9574,0,0
38,30-39,male single,>=7,<100,45,8332,1,1
32,30-39,female single,1<=X<4,no known savings,8,3255,0,0
42,40-49,male single,>=7,>=1000,28,5522,1,1
24,Under 30,male single,unemployed,<100,27,14976,0,0
49,40-49,male single,>=7,<100,40,653,1,1
40,40-49,male single,unemployed,>=1000,8,6934,1,1
68,50+,male single,4<=X<7,no known savings,57,1914,0,0
64,50+,female div/dep/mar,>=7,<100,48,10485,0,0
59,50+,male mar/wid,<1,500<=X<1000,53,8490,0,0
60,50+,female div/dep/mar,1<=X<4,100<=X<500,31,4266,1,1
44,40-49,male single,>=7,100<=X<500,63,6105,1,1
22,Under 30,female single,1<=X<4,>=1000,55,3844,1,1
38,30-39,male mar/wid,1<=X<4,500<=X<1000,57,1506,0,0
40,40-49,male div/sep,4<=X<7,500<=X<1000,48,10471,0,0
67,50+,female div/dep/mar,unemployed,100<=X<500,33,7900,0,0
55,50+,female div/dep/mar,>=7,100<=X<500,53,1834,1,1
38,30-39,female single,>=7,>=1000,57,9672,1,1
50,50+,male single,unemployed,no known savings,42,11792,0,0
26,Under 30,male single,>=7,<100,24,12755,1,1
42,40-49,male single,>=7,100<=X<500,28,13827,1,1
55,50+,male div/sep,unemployed,500<=X<1000,59,3607,0,0
42,40-49,female div/dep/mar,4<=X<7,<100,70,14075,0,0
62,50+,male single,1<=X<4,<100,41,6856,0,0
63,50+,male div/sep,>=7,<100,48,4784,1,0
36,30-39,female div/dep/mar,1<=X<4,>=1000,59,9433,0,0
55,50+,female single,1<=X<4,<100,12,13917,0,0
18,Under 30,female single,>=7,100<=X<500,7,4333,1,1
65,50+,male mar/wid,>=7,<100,35,3642,1,1
51,50+,female single,4<=X<7,<100,42,1920,1,1
21,Under 30,female single,1<=X<4,no known savings,33,11144,0,0
68,50+,male single,unemployed,100<=X<500,61,5496,0,0
34,30-39,male single,4<=X<7,<100,69,2716,0,0
65,50+,female single,unemployed,<100,58,6543,0,0
30,30-39,female single,<1,no known savings,17,1108,0,0
32,30-39,male single,1<=X<4,100<=X<500,63,14894,0,1
20,Under 30,male single,<1,>=1000,17,5534,1,1
74,50+,male single,1<=X<4,100<=X<500,12,10487,0,0
22,Under 30,male single,4<=X<7,<100,48,3371,0,0
27,Under 30,male single,4<=X<7,100<=X<500,41,1048,1,1
35,30-39,female single,4<=X<7,<100,64,5975,0,0
25,Under 30,female div/dep/mar,1<=X<4,no known savings,37,4251,0,0
33,30-39,male single,<1,<100,52,12632,0,0
25,Under 30,female div/dep/mar,>=7,>=1000,12,5081,1,1
24,Under 30,male single,1<=X<4,no known savings,52,10620,0,0
21,Under 30,male div/sep,4<=X<7,no known savings,47,6939,0,0
41,40-49,female single,<1,no known savings,66,726,0,0
37,30-39,female single,<1,<100,56,10131,0,0
47,40-49,female div/dep/mar,1<=X<4,100<=X<500,61,1645,0,0
49,40-49,female single,1<=X<4,<100,41,13076,0,0
42,40-49,female single,1<=X<4,500<=X<1000,48,6606,1,1
35,30-39,male mar/wid,4<=X<7,500<=X<1000,28,10857,1,1
48,40-49,female single,1<=X<4,<100,18,13549,0,0
66,50+,male single,unemployed,100<=X<500,50,11173,0,0
65,50+,male single,1<=X<4,100<=X<500,55,13871,0,0
42,40-49,female div/dep/mar,4<=X<7,500<=X<1000,36,14489,0,0
19,Under 30,male single,4<=X<7,<100,43,14043,0,0
51,50+,female single,1<=X<4,no known savings,36,2900,0,0
64,50+,male single,>=7,<100,59,9687,0,0
20,Under 30,female div/dep/mar,1<=X<4,100<=X<500,13,7755,1,1
38,30-39,male single,<1,<100,17,5149,0,0
48,40-49,female single,1<=X<4,100<=X<500,64,9476,0,0
37,30-39,female single,>=7,>=1000,60,6697,1,1
65,50+,male mar/wid,<1,>=1000,37,4453,1,1
19,Under 30,male div/sep,4<=X<7,100<=X<500,31,7893,1,1
65,50+,male mar/wid,>=7,100<=X<500,17,2437,1,1
47,40-49,female single,>=7,100<=X<500,14,4040,1,1
57,50+,male single,>=7,<100,6,14470,1,1
33,30-39,male single,unemployed,>=1000,20,6102,0,0
62,50+,male single,1<=X<4,no known savings,40,7786,0,0
55,50+,male single,<1,100<=X<500,13,6214,0,0
45,40-49,male div/sep,>=7,>=1000,11,1063,1,1
34,30-39,male single,1<=X<4,100<=X<500,27,13082,0,1
56,50+,male div/sep,>=7,<100,45,8239,0,0
36,30-39,female div/dep/mar,<1,100<=X<500,41,3698,0,1
24,Under 30,male mar/wid,unemployed,<100,52,12117,0,0
35,30-39,male single,1<=X<4,500<=X<1000,50,3126,1,1
63,50+,female div/dep/mar,>=7,100<=X<500,60,11952,0,0
55,50+,female div/dep/mar,>=7,500<=X<1000,43,3483,1,1
43,40-49,male single,1<=X<4,100<=X<500,60,5517,0,0
57,50+,female div/dep/mar,1<=X<4,>=1000,21,689,1,1
73,50+,male single,<1,no known savings,50,5915,0,0
45,40-49,male single,<1,no known savings,29,9038,0,0
64,50+,male single,4<=X<7,>=1000,54,12086,1,1
24,Under 30,female single,1<=X<4,<100,57,4666,0,0
67,50+,male single,4<=X<7,500<=X<1000,30,7496,1,1
56,50+,female div/dep/mar,4<=X<7,500<=X<1000,27,5862,1,1
43,40-49,female div/dep/mar,4<=X<7,>=1000,49,6104,1,1
59,50+,female div/dep/mar,4<=X<7,<100,54,5509,0,0
60,50+,male single,4<=X<7,100<=X<500,59,3103,0,0
52,50+,male single,>=7,100<=X<500,69,11342,0,0
25,Under 30,male mar/wid,1<=X<4,<100,51,8765,0,0
62,50+,male div/sep,1<=X<4,100<=X<500,6,12638,0,0
70,50+,female div/dep/mar,4<=X<7,no known savings,36,12108,0,0
72,50+,female single,1<=X<4,>=1000,57,6098,1,0
21,Under 30,male single,>=7,500<=X<1000,8,6228,1,1
34,30-39,female single,4<=X<7,>=1000,67,14599,0,0
38,30-39,female div/dep/mar,>=7,>=1000,33,6591,1,1
44,40-49,female single,1<=X<4,>=1000,15,2961,1,1
56,50+,female single,<1,no known savings,47,11989,0,0
39,30-39,male single,<1,>=1000,31,10325,0,0
40,40-49,female div/dep/mar,unemployed,no known savings,27,9788,0,0
63,50+,female div/dep/mar,4<=X<7,100<=X<500,36,14904,0,0
20,Under 30,male div/sep,1<=X<4,100<=X<500,37,715,0,1
48,40-49,male mar/wid,4<=X<7,100<=X<500,41,12328,0,0
61,50+,female single,<1,100<=X<500,34,6584,0,1
25,Under 30,male single,4<=X<7,500<=X<1000,67,12154,0,0
31,30-39,female single,<1,100<=X<500,47,14612,0,0
44,40-49,male single,1<=X<4,<100,61,7471,0,0
66,50+,female div/dep/mar,1<=X<4,no known savings,42,2234,0,0
42,40-49,female div/dep/mar,>=7,<100,37,4960,1,1
18,Under 30,male single,1<=X<4,no known savings,40,4736,0,0
53,50+,female div/dep/mar,1<=X<4,no known savings,16,3895,0,0
73,50+,female single,4<=X<7,500<=X<1000,12,14277,1,1
41,40-49,female div/dep/mar,4<=X<7,>=1000,15,13726,1,1
59,50+,female div/dep/mar,<1,500<=X<1000,64,2702,0,0
43,40-49,female single,1<=X<4,500<=X<1000,12,6543,1,1
60,50+,female div/dep/mar,4<=X<7,500<=X<1000,49,6181,1,1
48,40-49,male single,1<=X<4,<100,23,8843,0,0
44,40-49,female div/dep/mar,4<=X<7,no known savings,18,14913,0,0
71,50+,male single,1<=X<4,no known savings,19,11455,0,0
60,50+,male mar/wid,4<=X<7,100<=X<500,21,5500,1,1
45,40-49,male single,1<=X<4,<100,23,5326,0,0
48,40-49,male div/sep,4<=X<7,100<=X<500,67,1211,1,1
28,Under 30,male div/sep,1<=X<4,100<=X<500,53,13629,0,0
47,40-49,male single,>=7,<100,66,8882,0,0
72,50+,female div/dep/mar,>=7,500<=X<1000,18,5535,1,1
30,30-39,male mar/wid,>=7,<100,43,5588,1,1
29,Under 30,female single,>=7,500<=X<1000,54,14118,1,1
47,40-49,female div/dep/mar,4<=X<7,500<=X<1000,28,2623,1,1
26,Under 30,male mar/wid,<1,no known savings,24,2341,0,0
60,50+,male div/sep,<1,100<=X<500,41,14131,0,1
65,50+,male mar/wid,<1,no known savings,13,12898,0,0
66,50+,female div/dep/mar,4<=X<7,500<=X<1000,62,14455,0,0
56,50+,male mar/wid,1<=X<4,<100,35,10236,0,0
21,Under 30,male mar/wid,>=7,100<=X<500,11,6108,1,1
30,30-39,male single,>=7,no known savings,8,12348,1,1
34,30-39,female single,unemployed,no known savings,29,1276,0,0
61,50+,female div/dep/mar,1<=X<4,500<=X<1000,29,7151,1,1
18,Under 30,male single,4<=X<7,500<=X<1000,17,14176,1,1
61,50+,male mar/wid,4<=X<7,<100,40,3110,1,1
70,50+,female div/dep/mar,>=7,100<=X<500,41,1466,1,1
33,30-39,male single,<1,100<=X<500,53,13675,0,0
27,Under 30,male single,>=7,100<=X<500,42,9497,1,1
19,Under 30,male single,1<=X<4,>=1000,44,560,1,1
28,Under 30,male div/sep,4<=X<7,<100,69,9333,0,0
20,Under 30,male div/sep,1<=X<4,<100,8,9389,0,0
25,Under 30,male single,<1,100<=X<500,56,7229,0,0
33,30-39,male single,unemployed,500<=X<1000,43,11224,0,0
64,50+,male single,>=7,100<=X<500,27,14155,1,1
26,Under 30,male mar/wid,>=7,>=1000,20,8986,1,1
63,50+,male single,1<=X<4,<100,68,4479,0,0
63,50+,male div/sep,<1,no known savings,39,2078,0,0
44,40-49,male single,<1,100<=X<500,60,6106,0,0
68,50+,female single,4<=X<7,100<=X<500,41,874,1,1
39,30-39,female single,1<=X<4,100<=X<500,11,8666,1,1
44,40-49,male single,1<=X<4,no known savings,17,1559,0,0
55,50+,male single,>=7,<100,19,3638,1,1
67,50+,male single,1<=X<4,100<=X<500,62,9846,0,0
23,Under 30,male single,>=7,<100,27,10115,1,1
61,50+,female div/dep/mar,>=7,<100,68,11933,0,1
38,30-39,male mar/wid,<1,100<=X<500,48,4298,0,0
51,50+,male mar/wid,>=7,<100,21,14324,1,1
24,Under 30,male single,>=7,no known savings,44,11153,0,0
69,50+,female single,4<=X<7,<100,17,6355,1,1
27,Under 30,male single,1<=X<4,no known savings,19,1237,0,0
64,50+,male single,1<=X<4,100<=X<500,42,2268,0,0
33,30-39,male div/sep,unemployed,<100,57,4822,0,0
51,50+,male single,>=7,<100,55,1551,0,0
45,40-49,male single,1<=X<4,100<=X<500,62,1363,0,1
51,50+,male single,4<=X<7,500<=X<1000,31,2204,1,1
24,Under 30,male single,1<=X<4,>=1000,42,1250,1,1
26,Under 30,male single,>=7,<100,23,1135,1,1
70,50+,female single,<1,<100,40,8071,0,0
74,50+,male single,1<=X<4,no known savings,15,602,0,0
74,50+,male mar/wid,1<=X<4,100<=X<500,23,10935,0,0
43,40-49,male mar/wid,<1,100<=X<500,6,2451,1,1
35,30-39,male mar/wid,1<=X<4,500<=X<1000,50,9667,0,0
27,Under 30,male mar/wid,1<=X<4,100<=X<500,8,5142,1,1
67,50+,male single,<1,no known savings,50,14401,0,0
57,50+,female single,>=7,<100,39,11655,0,0
46,40-49,male single,unemployed,100<=X<500,27,11673,0,1
31,30-39,female div/dep/mar,>=7,<100,71,527,0,0
31,30-39,female div/dep/mar,>=7,<100,16,7809,1,1
55,50+,male single,>=7,<100,22,4078,1,1
25,Under 30,female div/dep/mar,4<=X<7,<100,42,12214,0,0
27,Under 30,male single,4<=X<7,500<=X<1000,24,2379,1,1
46,40-49,male div/sep,unemployed,no known savings,37,13327,0,0
36,30-39,female div/dep/mar,4<=X<7,100<=X<500,16,2404,1,1
56,50+,male div/sep,<1,500<=X<1000,16,10682,0,0
53,50+,male single,1<=X<4,<100,35,11235,0,1
69,50+,female single,4<=X<7,<100,7,9410,1,0
71,50+,female div/dep/mar,>=7,500<=X<1000,40,12812,1,1
66,50+,male single,<1,no known savings,34,13434,0,0
35,30-39,female div/dep/mar,4<=X<7,<100,56,6667,0,0
48,40-49,male single,4<=X<7,500<=X<1000,10,8234,1,1
61,50+,male mar/wid,>=7,>=1000,27,2355,1,1
31,30-39,male mar/wid,1<=X<4,500<=X<1000,33,7268,1,1
62,50+,male single,>=7,100<=X<500,30,9943,1,1
57,50+,male mar/wid,<1,no known savings,9,7362,0,0
41,40-49,male div/sep,unemployed,<100,51,9469,0,0
64,50+,male single,>=7,100<=X<500,38,13392,1,1
46,40-49,male mar/wid,>=7,500<=X<1000,28,13567,1,1
51,50+,female div/dep/mar,1<=X<4,<100,43,8395,0,0
22,Under 30,female single,4<=X<7,100<=X<500,58,1513,0,0
48,40-49,female single,<1,100<=X<500,68,5818,0,0
24,Under 30,female single,1<=X<4,<100,9,656,0,0
67,50+,male single,unemployed,<100,42,2477,0,0
68,50+,male single,<1,no known savings,6,8047,0,0
64,50+,female single,>=7,<100,9,5960,1,1
39,30-39,male single,1<=X<4,<100,23,2383,0,0
34,30-39,female single,<1,<100,51,12176,0,0
18,Under 30,male single,<1,100<=X<500,12,12581,0,0
49,40-49,male div/sep,4<=X<7,>=1000,66,9458,1,1
20,Under 30,female div/dep/mar,1<=X<4,<100,6,8796,0,0
45,40-49,male div/sep,>=7,500<=X<1000,62,5528,1,0
60,50+,male div/sep,>=7,100<=X<500,18,2822,1,1
72,50+,female div/dep/mar,<1,100<=X<500,29,1000,0,0
59,50+,male mar/wid,>=7,<100,33,1260,1,1
32,30-39,male mar/wid,4<=X<7,no known savings,57,1745,0,0
73,50+,male mar/wid,>=7,100<=X<500,14,5137,1,1
56,50+,female single,>=7,<100,32,14507,0,0
57,50+,male single,1<=X<4,>=1000,64,13928,1,1
39,30-39,male mar/wid,1<=X<4,>=1000,59,3730,1,1
36,30-39,male div/sep,4<=X<7,100<=X<500,36,11402,0,0
67,50+,male single,>=7,>=1000,49,6550,1,1
45,40-49,female single,1<=X<4,500<=X<1000,29,3453,1,1
35,30-39,female div/dep/mar,>=7,<100,18,8810,1,1
71,50+,male mar/wid,4<=X<7,no known savings,41,14764,0,0
62,50+,female single,>=7,>=1000,53,7213,1,1
28,Under 30,male div/sep,<1,500<=X<1000,50,1147,0,0
30,30-39,male single,>=7,no known savings,15,5539,1,1
56,50+,male mar/wid,4<=X<7,no known savings,26,13817,0,0
45,40-49,male mar/wid,<1,500<=X<1000,58,10805,0,0
19,Under 30,male div/sep,<1,500<=X<1000,61,11504,0,0
62,50+,male mar/wid,>=7,<100,68,10795,0,0
52,50+,male single,4<=X<7,100<=X<500,23,8663,1,1
47,40-49,female div/dep/mar,<1,100<=X<500,70,514,0,0
45,40-49,male single,4<=X<7,<100,38,11788,0,0
56,50+,female single,<1,100<=X<500,37,11945,0,0
50,50+,female div/dep/mar,1<=X<4,100<=X<500,9,5421,1,1
48,40-49,male mar/wid,<1,100<=X<500,55,10434,0,0
48,40-49,male mar/wid,>=7,no known savings,19,3323,1,1
27,Under 30,female div/dep/mar,unemployed,500<=X<1000,40,14970,0,0
61,50+,male single,4<=X<7,100<=X<500,51,12477,0,0
35,30-39,male single,<1,100<=X<500,13,1647,1,0
48,40-49,male mar/wid,1<=X<4,no known savings,44,6111,0,0
18,Under 30,female div/dep/mar,1<=X<4,500<=X<1000,53,8067,0,0
43,40-49,male single,>=7,no known savings,64,2134,1,1
66,50+,male single,unemployed,500<=X<1000,6,3830,0,0
32,30-39,male mar/wid,unemployed,no known savings,36,10997,0,0
24,Under 30,female single,>=7,100<=X<500,53,12816,0,0
64,50+,male div/sep,>=7,no known savings,35,684,1,1
74,50+,male single,4<=X<7,<100,21,12591,0,0
37,30-39,female single,>=7,500<=X<1000,46,13727,1,1
66,50+,male mar/wid,4<=X<7,100<=X<500,29,11132,0,0
38,30-39,female div/dep/mar,1<=X<4,100<=X<500,70,3350,0,0
57,50+,female single,4<=X<7,>=1000,16,3421,1,1
29,Under 30,female single,>=7,500<=X<1000,24,867,1,1
39,30-39,female single,>=7,>=1000,24,4363,1,1
26,Under 30,female div/dep/mar,4<=X<7,<100,36,9391,0,0
30,30-39,male div/sep,4<=X<7,100<=X<500,17,11189,1,0
52,50+,male single,4<=X<7,no known savings,38,10997,0,0
28,Under 30,male single,1<=X<4,>=1000,47,1030,1,1
31,30-39,male single,4<=X<7,100<=X<500,56,5886,0,0
71,50+,female single,1<=X<4,>=1000,61,7499,1,1
73,50+,female single,unemployed,<100,58,13541,0,0
48,40-49,female div/dep/mar,>=7,<100,47,8963,0,0
20,Under 30,female div/dep/mar,4<=X<7,no known savings,62,10259,0,0
70,50+,female div/dep/mar,1<=X<4,100<=X<500,41,3117,0,0
60,50+,female div/dep/mar,1<=X<4,no known savings,22,3148,0,0
53,50+,female div/dep/mar,1<=X<4,<100,23,6694,0,0
65,50+,female div/dep/mar,>=7,no known savings,9,10075,1,1
40,40-49,male div/sep,1<=X<4,<100,56,2221,0,0
39,30-39,male single,<1,<100,25,9018,0,0
32,30-39,male div/sep,>=7,<100,62,2159,1,1
63,50+,male mar/wid,4<=X<7,<100,19,10757,0,0
73,50+,female div/dep/mar,<1,<100,49,1787,0,0
48,40-49,male single,<1,<100,30,927,0,0
62,50+,male mar/wid,>=7,no known savings,69,9830,0,0
31,30-39,female single,<1,no known savings,7,2323,0,0
47,40-49,male mar/wid,<1,<100,43,3959,0,0
65,50+,male mar/wid,4<=X<7,100<=X<500,11,14664,1,1
62,50+,male mar/wid,1<=X<4,500<=X<1000,53,7872,0,0
41,40-49,male single,>=7,500<=X<1000,33,11083,1,1
70,50+,male mar/wid,>=7,<100,71,6053,0,0
36,30-39,male single,4<=X<7,no known savings,44,3833,0,0
24,Under 30,male single,1<=X<4,100<=X<500,46,6802,0,0
62,50+,male single,1<=X<4,100<=X<500,8,6559,1,1
64,50+,male mar/wid,>=7,<100,6,1119,1,1
35,30-39,male mar/wid,unemployed,100<=X<500,54,4974,0,0
67,50+,female div/dep/mar,>=7,500<=X<1000,40,13357,1,0
67,50+,male div/sep,4<=X<7,100<=X<500,40,14780,0,1
28,Under 30,female single,>=7,no known savings,54,9396,0,0
42,40-49,male div/sep,4<=X<7,<100,67,14854,0,0
56,50+,male div/sep,4<=X<7,<100,21,2677,1,1
47,40-49,male mar/wid,unemployed,100<=X<500,70,12999,0,0
29,Under 30,female div/dep/mar,4<=X<7,500<=X<1000,7,9272,1,1
65,50+,male single,>=7,100<=X<500,7,4119,1,1
38,30-39,female div/dep/mar,unemployed,no known savings,64,12228,0,0
72,50+,male single,>=7,<100,47,11952,0,0
27,Under 30,male mar/wid,>=7,<100,37,4607,1,1
51,50+,male single,<1,no known savings,21,6729,0,0
42,40-49,female single,<1,100<=X<500,54,1504,0,0
62,50+,female single,<1,500<=X<1000,58,1883,0,0
40,40-49,female single,1<=X<4,100<=X<500,71,7372,0,0
28,Under 30,female single,1<=X<4,100<=X<500,42,10840,0,0
50,50+,male single,4<=X<7,<100,58,8111,0,0
54,50+,male single,1<=X<4,no known savings,56,2577,0,0
38,30-39,male mar/wid,>=7,no known savings,71,1980,0,0
49,40-49,male single,>=7,100<=X<500,7,7588,1,1
39,30-39,male single,1<=X<4,<100,7,12230,0,0
34,30-39,male mar/wid,<1,<100,34,4898,0,0
74,50+,male mar/wid,unemployed,<100,71,4269,0,0
61,50+,male single,<1,100<=X<500,20,7240,0,1
53,50+,female div/dep/mar,>=7,<100,50,12367,0,0
45,40-49,male single,4<=X<7,100<=X<500,34,6349,1,1
60,50+,male div/sep,4<=X<7,<100,38,10842,0,0
70,50+,male single,1<=X<4,<100,56,8407,0,0
66,50+,male div/sep,4<=X<7,100<=X<500,10,2317,1,1
64,50+,male single,>=7,<100,42,5709,0,0
61,50+,female div/dep/mar,<1,<100,8,14213,0,1
64,50+,female single,>=7,<100,16,9285,1,1
74,50+,female div/dep/mar,<1,>=1000,16,7987,1,1
34,30-39,male mar/wid,>=7,no known savings,12,9412,0,0
31,30-39,female div/dep/mar,1<=X<4,>=1000,24,3085,1,1
44,40-49,male mar/wid,>=7,100<=X<500,39,10837,1,1
24,Under 30,female single,>=7,>=1000,15,9638,1,1
73,50+,female single,4<=X<7,<100,7,10913,0,0
72,50+,female div/dep/mar,<1,100<=X<500,40,984,0,0
48,40-49,female div/dep/mar,<1,100<=X<500,37,4073,0,0
64,50+,male single,1<=X<4,<100,20,9302,0,0
29,Under 30,male mar/wid,4<=X<7,no known savings,17,14716,0,0
19,Under 30,male single,1<=X<4,100<=X<500,68,8485,0,0
64,50+,female div/dep/mar,>=7,no known savings,48,10627,1,1
39,30-39,male div/sep,>=7,<100,32,13735,0,0
25,Under 30,male single,>=7,no known savings,60,5320,0,0
73,50+,male single,4<=X<7,500<=X<1000,37,1518,1,1
33,30-39,female div/dep/mar,>=7,100<=X<500,15,14259,1,1
73,50+,female single,4<=X<7,no known savings,40,12993,0,0
42,40-49,male single,>=7,100<=X<500,9,5680,1,1
20,Under 30,male div/sep,<1,no known savings,44,756,0,0
47,40-49,male mar/wid,1<=X<4,100<=X<500,48,14631,0,0
67,50+,female single,4<=X<7,100<=X<500,23,6360,1,1
62,50+,female div/dep/mar,1<=X<4,500<=X<1000,37,13726,0,0
67,50+,male div/sep,4<=X<7,>=1000,33,8648,1,1
36,30-39,male single,>=7,<100,44,6754,1,1
46,40-49,female div/dep/mar,4<=X<7,100<=X<500,32,5431,1,1
74,50+,male single,<1,<100,58,10326,0,0
22,Under 30,male single,4<=X<7,no known savings,14,4037,1,1
37,30-39,female div/dep/mar,1<=X<4,no known savings,56,10749,0,0
50,50+,male mar/wid,1<=X<4,no known savings,17,1680,0,0
18,Under 30,female div/dep/mar,1<=X<4,100<=X<500,17,14812,0,0
49,40-49,male single,>=7,>=1000,35,2533,1,1
46,40-49,male div/sep,1<=X<4,no known savings,32,7797,0,1
55,50+,female single,1<=X<4,no known savings,48,6331,0,0
40,40-49,female div/dep/mar,4<=X<7,100<=X<500,63,10542,0,0
27,Under 30,female div/dep/mar,1<=X<4,<100,58,13932,0,0
29,Under 30,male mar/wid,1<=X<4,no known savings,11,11326,0,0
52,50+,female div/dep/mar,4<=X<7,no known savings,6,6623,1,1
64,50+,female single,<1,100<=X<500,48,701,0,0
26,Under 30,male single,<1,100<=X<500,26,9236,0,0
28,Under 30,female div/dep/mar,4<=X<7,no known savings,17,9252,0,0
28,Under 30,male single,1<=X<4,500<=X<1000,51,14832,0,0
55,50+,male single,4<=X<7,<100,43,9697,0,0
21,Under 30,female single,>=7,<100,56,12903,0,0
36,30-39,male single,4<=X<7,<100,50,12108,0,0
38,30-39,male div/sep,1<=X<4,500<=X<1000,19,4135,1,1
23,Under 30,male single,4<=X<7,<100,14,5745,1,1
40,40-49,male mar/wid,1<=X<4,no known savings,7,10282,0,0
61,50+,female single,>=7,100<=X<500,34,6857,1,1
56,50+,female div/dep/mar,>=7,100<=X<500,66,9400,1,1
24,Under 30,male single,<1,>=1000,40,14811,0,1
62,50+,male single,1<=X<4,<100,10,8817,0,0
53,50+,female div/dep/mar,<1,100<=X<500,49,9123,0,0
56,50+,female div/dep/mar,<1,100<=X<500,55,11746,0,0
32,30-39,female single,>=7,<100,60,2976,0,0
26,Under 30,male mar/wid,unemployed,<100,49,1167,0,1
64,50+,male single,>=7,500<=X<1000,67,7984,1,1
39,30-39,female single,1<=X<4,500<=X<1000,12,5409,1,0
28,Under 30,male single,unemployed,<100,6,14527,0,0
52,50+,female div/dep/mar,>=7,no known savings,44,4379,1,1
34,30-39,female div/dep/mar,>=7,<100,14,1222,1,1
26,Under 30,female div/dep/mar,>=7,500<=X<1000,57,6386,1,1
51,50+,male single,<1,100<=X<500,41,10444,0,0
63,50+,male single,<1,>=1000,49,1925,0,0
36,30-39,female single,unemployed,no known savings,31,12128,0,0
57,50+,female div/dep/mar,4<=X<7,<100,16,1634,1,1
47,40-49,male single,unemployed,>=1000,48,723,0,0
39,30-39,male div/sep,1<=X<4,<100,33,8388,0,0
43,40-49,female single,4<=X<7,100<=X<500,45,5672,1,1
47,40-49,female single,1<=X<4,100<=X<500,16,12439,0,0
29,Under 30,male div/sep,1<=X<4,100<=X<500,17,9132,1,1
53,50+,male single,<1,<100,47,6869,0,1
24,Under 30,male single,<1,500<=X<1000,38,12768,0,0
71,50+,male single,<1,100<=X<500,10,5653,1,1
58,50+,male single,4<=X<7,100<=X<500,26,2482,1,1
19,Under 30,male single,1<=X<4,<100,35,7248,0,1
38,30-39,male mar/wid,4<=X<7,500<=X<1000,38,3363,1,1
44,40-49,male single,>=7,500<=X<1000,6,13736,1,1
67,50+,male mar/wid,>=7,<100,34,7692,1,1
18,Under 30,male single,unemployed,100<=X<500,56,10301,0,0
31,30-39,male div/sep,4<=X<7,>=1000,70,12466,1,1
66,50+,male single,<1,<100,53,12668,0,1
19,Under 30,female single,1<=X<4,<100,38,4450,0,0
40,40-49,male mar/wid,>=7,<100,8,8005,1,1
43,40-49,male single,4<=X<7,100<=X<500,71,14858,0,0
42,40-49,male mar/wid,4<=X<7,100<=X<500,23,2361,1,1
32,30-39,male single,>=7,<100,23,7832,1,1
46,40-49,female div/dep/mar,>=7,no known savings,17,5482,1,1
69,50+,male mar/wid,>=7,500<=X<1000,32,626,1,1
74,50+,male mar/wid,<1,<100,64,3259,0,0
45,40-49,male single,>=7,>=1000,40,12478,1,1
56,50+,male div/sep,<1,100<=X<500,31,9431,0,0
65,50+,female single,1<=X<4,100<=X<500,15,1915,1,1
21,Under 30,female single,>=7,<100,57,10108,0,0
47,40-49,male single,1<=X<4,100<=X<500,8,5005,1,1
64,50+,male single,unemployed,<100,26,10274,0,0
27,Under 30,male single,1<=X<4,500<=X<1000,39,10532,1,1
59,50+,female single,1<=X<4,100<=X<500,59,5393,0,0
27,Under 30,female div/dep/mar,unemployed,<100,31,10527,0,0
74,50+,male mar/wid,>=7,500<=X<1000,15,11670,1,1
39,30-39,male single,<1,500<=X<1000,25,13361,0,0
33,30-39,female single,>=7,500<=X<1000,60,1127,1,1
56,50+,male single,<1,>=1000,52,12569,0,0
57,50+,male single,>=7,500<=X<1000,54,9203,1,1
68,50+,female div/dep/mar,>=7,no known savings,67,7035,0,0
60,50+,male single,4<=X<7,500<=X<1000,13,12271,1,1
30,30-39,female single,1<=X<4,no known savings,20,4139,0,0
56,50+,female single,unemployed,no known savings,18,1261,0,0
47,40-49,male mar/wid,4<=X<7,<100,30,10937,0,1
30,30-39,male div/sep,>=7,500<=X<1000,50,8933,1,1
59,50+,female div/dep/mar,>=7,500<=X<1000,54,11801,0,0
43,40-49,male single,<1,no known savings,47,8197,0,0
48,40-49,female single,>=7,100<=X<500,33,12276,1,1
56,50+,male div/sep,4<=X<7,100<=X<500,66,13284,0,0
44,40-49,male single,>=7,<100,44,9983,0,0
74,50+,male single,<1,>=1000,43,10164,0,0
21,Under 30,male single,>=7,<100,15,10031,1,1
65,50+,female single,>=7,no known savings,57,8016,0,0
29,Under 30,male mar/wid,1<=X<4,500<=X<1000,64,12502,0,0
69,50+,male mar/wid,>=7,100<=X<500,18,9092,1,1
52,50+,female single,4<=X<7,no known savings,30,7225,1,1
56,50+,male single,unemployed,no known savings,60,4716,0,0
18,Under 30,female div/dep/mar,4<=X<7,<100,22,7561,1,1
33,30-39,male mar/wid,unemployed,100<=X<500,11,4258,0,0
39,30-39,female div/dep/mar,>=7,<100,26,13371,0,1
62,50+,male mar/wid,>=7,100<=X<500,26,12503,1,1
53,50+,male div/sep,1<=X<4,500<=X<1000,33,2312,1,1
51,50+,female div/dep/mar,<1,100<=X<500,68,6648,0,0
39,30-39,female div/dep/mar,unemployed,<100,25,3474,0,0
31,30-39,male single,<1,500<=X<1000,10,4369,0,0
20,Under 30,male mar/wid,4<=X<7,no known savings,28,9833,0,0
